,agrup_dato,fecha_corte,Codigo Ejecutivo,Antigüedad,cargo,canal,catt,region,cum tarjetas,cum seguros,cum creditos,Tarjetas,Seguros,Creditos,antiguedad_cod,metas_tarjetas,metas_seguros,metas_creditos
104,EJECUTIVO,2025-01-31,1319434,Mas de 5 años,Servicio,305066,ÉXITO SAN FRANCISCO,COSTAS,166.666667,92.8928635160004,196.63833100000002,5,45,13.05186727,3: Mayor a 5 años,2,48,6
105,EJECUTIVO,2025-01-31,1971382,Menos de 6 meses,Comercial,305009,ÉXITO LAURELES,ANTIOQUIA,45.16129,124.08399999999999,383.1614891346155,28,16,18.3671073,0: Menos de 6 meses,62,12,4
107,EJECUTIVO,2025-01-31,0,Mas de 5 años,Servicio,305007,ÉXITO AMÉRICAS,BOGOTA Y CERCANIAS,250.0,92.4078161421911,267.67064,5,10,7.949818,3: Mayor a 5 años,2,10,2
108,EJECUTIVO,2025-01-31,1002189,Mas de 5 años,Comercial,305032,ÉXITO CARTAGENA,COSTAS,114.285714,98.2579575596817,71.312679,16,17,4.40355795,3: Mayor a 5 años,14,17,6
109,EJECUTIVO,2025-01-31,1013416,Mas de 5 años,Comercial,305061,ÉXITO BUENAVISTA SANTA MARTA,COSTAS,71.42857099999999,26.084512799550303,72.558449,15,11,4.71629921,3: Mayor a 5 años,21,42,6
110,EJECUTIVO,2025-01-31,1401478,Mas de 5 años,Comercial,305027,ÉXITO SUBA,BOGOTA CENTRO,66.666667,132.760261904761,171.7662,26,15,11.72304317,3: Mayor a 5 años,38,11,6
111,EJECUTIVO,2025-01-31,1547600,Entre 1 y 5 años,Comercial,305044,ÉXITO SALITRE,BOGOTA CENTRO,37.037037,101.313047619047,271.245163,10,15,8.8154678,2: Entre 1 y 5 años,27,14,3
112,EJECUTIVO,2025-01-31,1119541,Mas de 5 años,Servicio,356060,ÉXITO DUITAMA,SANTANDERES BOYACA,200.0,112.81647727272698,0.0,4,16,0.0,3: Mayor a 5 años,2,14,0
113,EJECUTIVO,2025-01-31,1912179,Mas de 5 años,Servicio,886175,ÉXITO PITALITO,BOGOTA CENTRO,225.0,50.3311161048689,254.373671,9,31,13.73617824,3: Mayor a 5 años,4,61,5
114,EJECUTIVO,2025-01-31,1100438,Mas de 5 años,Servicio,305055,ÉXITO SAN MATEO CUCUTA,SANTANDERES BOYACA,150.0,31.3837403740374,250.291392,6,22,13.14029807,3: Mayor a 5 años,4,70,5
115,EJECUTIVO,2025-01-31,1133360,entre 6 meses y 1 año,Comercial,305009,ÉXITO LAURELES,ANTIOQUIA,45.16129,149.036047619047,263.052078,28,21,11.11395031,1: Entre 6 meses y 1 año,62,14,4
116,EJECUTIVO,2025-01-31,1012681,Menos de 6 meses,Comercial,305047,ÉXITO CAÑAVERAL,SANTANDERES BOYACA,47.61904761904761,31.57894736842105,46.5859965,10,6,1.86343986,0: Menos de 6 meses,21,19,4
117,EJECUTIVO,2025-01-31,1340212,Menos de 6 meses,Comercial,305020,ÉXITO SAN PEDRO NEIVA,BOGOTA CENTRO,12.820513,0.460787627029965,71.554851,5,1,4.22173618,0: Menos de 6 meses,38,217,5
119,EJECUTIVO,2025-01-31,1299421,Mas de 5 años,Servicio,305036,ÉXITO RIONEGRO,ANTIOQUIA,285.0,132.97638095238,383.1614891346155,25,65,27.59253201,3: Mayor a 5 años,4,48,5
120,EJECUTIVO,2025-01-31,1066283,Mas de 5 años,Servicio,305041,ÉXITO FUSAGASUGA,BOGOTA Y CERCANIAS,225.0,91.7744291070211,213.08924199999998,9,36,15.18260847,3: Mayor a 5 años,4,39,7
121,EJECUTIVO,2025-01-31,1999272,Entre 1 y 5 años,Comercial,305045,ÉXITO UNICENTRO BOGOTA,BOGOTA Y CERCANIAS,41.379310000000004,15.789473684210526,0.0,12,3,0.0,2: Entre 1 y 5 años,29,19,0
122,EJECUTIVO,2025-01-31,1594214,entre 6 meses y 1 año,Comercial,305003,ÉXITO ENVIGADO,ANTIOQUIA,20.879121,0.0,12.838301,19,0,0.83448954,1: Entre 6 meses y 1 año,90,0,6
123,EJECUTIVO,2025-01-31,1133892,Mas de 5 años,Servicio,305039,ÉXITO SINCELEJO,COSTAS,133.333333,67.9725808742619,27.472742,4,41,1.99864173,3: Mayor a 5 años,3,60,7
124,EJECUTIVO,2025-01-31,1641949,Mas de 5 años,Servicio,305035,ÉXITO CHIPICHAPE,ANTIOQUIA,50.0,36.331485507246306,166.401434,1,9,4.6426,3: Mayor a 5 años,2,24,2
125,EJECUTIVO,2025-01-31,1416156,Mas de 5 años,Servicio,305008,ÉXITO SAN FERNANDO,ANTIOQUIA,225.0,82.839863095238,223.533039,9,57,15.42377747,3: Mayor a 5 años,4,68,6
126,EJECUTIVO,2025-01-31,1505252,Mas de 5 años,Comercial,305008,ÉXITO SAN FERNANDO,ANTIOQUIA,80.0,2.1437074829931904,383.1614891346155,12,1,7.86812708,3: Mayor a 5 años,15,46,1
127,EJECUTIVO,2025-01-31,1618213,Entre 1 y 5 años,Comercial,305004,ÉXITO SAN ANTONIO,ANTIOQUIA,98.305085,111.046761904761,246.45831299999998,58,15,20.02473796,2: Entre 1 y 5 años,58,13,8
